,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Castro,-24.79,-50.01,68.61,66,0,10.33,BR,1594492370
125,Aguadilla,18.43,-67.15,90.0,72,1,17.22,PR,1594492740
126,Puerto Colombia,10.99,-74.95,75.2,94,75,5.82,CO,1594492554
127,Soria,41.67,-2.67,75.0,51,32,10.0,ES,1594492741
128,Āsbe Teferī,9.08,40.87,66.38,74,80,8.93,ET,1594492742
129,Waipawa,-41.41,175.52,51.8,71,0,17.22,NZ,1594492707
130,Isangel,-19.55,169.27,69.71,84,4,13.51,VU,1594492742
131,Anderson,34.53,-82.65,91.99,45,1,4.7,US,1594492637
132,Hermanus,-34.42,19.23,48.0,81,0,11.95,ZA,1594492743
133,Carnarvon,-24.87,113.63,59.0,30,0,10.29,AU,1594492744
134,Hambantota,6.12,81.12,78.8,100,20,8.05,LK,1594492745
135,Port Blair,11.67,92.75,82.24,79,100,9.71,IN,1594492746
136,Sitka,57.05,-135.33,55.4,87,75,9.17,US,1594492746
137,Ponta do Sol,32.67,-17.1,75.2,64,20,21.92,PT,1594492360
138,Geraldton,-28.77,114.6,48.2,39,0,13.87,AU,1594492632
139,Biak,-0.91,122.88,75.49,83,95,6.93,ID,1594492747
140,Chui,-33.7,-53.46,52.02,55,0,5.14,UY,1594492748
141,Comodoro Rivadavia,-45.87,-67.5,46.4,42,40,17.22,AR,1594492748
142,Puerto Ayora,-0.74,-90.35,70.0,88,98,3.0,EC,1594492621
143,Nemuro,43.32,145.57,56.57,96,94,8.19,JP,1594492749
144,Nizhniy Kuranakh,58.84,125.49,67.57,63,0,4.18,RU,1594492750
145,Paamiut,61.99,-49.67,44.26,87,18,3.94,GL,1594492750
146,Santa Fe,-31.63,-60.7,64.0,25,100,3.0,AR,1594492751
147,Tupanatinga,-8.75,-37.34,75.33,58,0,15.7,BR,1594492733
148,Qaanaaq,77.48,-69.36,45.07,59,74,1.72,GL,1594492752
149,Paka,4.64,103.44,75.2,100,100,1.12,MY,1594492752
150,Noumea,-22.28,166.46,66.99,93,76,2.24,NC,1594492658
151,Coyhaique,-45.58,-72.07,39.2,55,40,6.93,CL,1594492753
152,Butaritari,3.07,172.79,83.61,77,96,13.06,KI,1594492754
153,Sørland,67.67,12.69,52.32,78,100,19.39,NO,1594492754
154,Boa Vista,2.82,-60.67,82.4,78,75,5.82,BR,1594492755
155,Bethel,41.37,-73.41,84.99,74,75,10.29,US,1594492711
156,Hay River,60.82,-115.8,73.4,56,75,12.75,CA,1594492532
157,Esim,4.87,-2.24,75.56,85,72,8.14,GH,1594492756
158,Vestmannaeyjar,63.44,-20.27,51.8,87,75,12.75,IS,1594492756
159,Barrow,71.29,-156.79,33.8,86,90,5.82,US,1594492627
160,Vágur,61.47,-6.81,51.75,95,100,19.84,FO,1594492757
161,Antsohihy,-14.88,47.99,70.32,73,0,4.41,MG,1594492758
162,Leshukonskoye,64.9,45.76,56.32,96,100,7.31,RU,1594492758
163,Yong’an,39.7,113.69,66.42,78,100,2.75,CN,1594492759
164,Kavieng,-2.57,150.8,82.42,75,100,10.94,PG,1594492759
165,Bredasdorp,-34.53,20.04,50.0,76,0,3.36,ZA,1594492759
166,Flin Flon,54.77,-101.86,69.8,68,75,11.41,CA,1594492760
167,Thanh Hoa,19.8,105.77,84.09,80,100,4.61,VN,1594492760
168,Saint-Philippe,-21.36,55.77,68.0,77,20,8.05,RE,1594492628
169,Goderich,43.75,-81.72,78.01,87,20,7.0,CA,1594492761
170,Kambove,-10.88,26.6,64.22,49,0,3.2,CD,1594492762
171,Iqaluit,63.75,-68.51,41.0,93,75,4.7,CA,1594492763
172,Tārānagar,28.67,75.04,97.68,42,11,11.01,IN,1594492763
173,Tramore,52.16,-7.15,60.01,77,22,9.17,IE,1594492764
174,Karaidel',55.83,56.91,62.01,89,0,2.59,RU,1594492765
175,Troitsko-Pechorsk,62.71,56.2,60.28,60,86,4.72,RU,1594492766
176,Gao,16.64,1.64,96.35,30,0,8.88,ML,1594492766
177,Mar del Plata,-38.0,-57.56,55.0,50,51,24.16,AR,1594492645
178,Clyde River,70.47,-68.59,57.2,58,20,3.36,CA,1594492767
179,Sibolga,1.74,98.78,76.91,79,100,1.63,ID,1594492768
180,Vila Velha,-20.33,-40.29,78.01,61,0,9.17,BR,1594492567
181,Rosarito,32.33,-117.03,86.0,45,20,8.05,MX,1594492769
182,Teknāf,20.86,92.31,80.6,87,100,6.4,BD,1594492769
183,Garoowe,8.41,48.48,87.46,38,29,22.7,SO,1594492769
184,Pacific Grove,36.62,-121.92,62.6,72,1,6.93,US,1594492770
185,Vardø,70.37,31.11,48.27,89,0,13.0,NO,1594492771
186,Buala,-8.14,159.59,80.64,78,91,12.44,SB,1594492717
187,Bac Lieu,9.29,105.72,80.53,82,100,7.29,VN,1594492772
188,Henties Bay,-22.12,14.28,57.0,81,0,8.01,NA,1594492772
189,Lázaro Cárdenas,17.96,-102.2,86.74,70,100,9.93,MX,1594492772
190,Cooma,-36.23,149.13,33.8,100,6,1.12,AU,1594492773
191,Bilibino,68.05,166.44,57.42,89,100,3.78,RU,1594492666
192,Jinchang,38.5,102.17,68.0,44,72,3.44,CN,1594492774
193,Chara,56.91,118.26,64.49,56,100,0.98,RU,1594492774
194,Hofn,64.25,-15.21,49.78,82,2,4.83,IS,1594492775
195,Beira,-19.84,34.84,73.4,83,20,8.05,MZ,1594492775
196,Arraial do Cabo,-22.97,-42.03,80.6,54,0,14.99,BR,1594492642
197,Xifeng,42.74,124.72,66.52,82,43,3.76,CN,1594492777
198,Moerai,-22.43,-151.33,74.01,79,81,13.24,PF,1594492777
199,Viedma,-40.81,-63.0,51.15,42,100,23.69,AR,1594492777
200,Dikson,73.51,80.55,42.75,87,100,12.5,RU,1594492640
201,Bukoba,-1.33,31.81,73.4,73,20,0.92,TZ,1594492778
202,Boca do Acre,-8.75,-67.4,94.69,34,0,2.17,BR,1594492779
203,Guerrero Negro,27.98,-114.06,89.71,27,0,11.63,MX,1594492779
204,Broken Hill,-31.95,141.43,42.8,87,90,5.82,AU,1594492780
205,Hithadhoo,-0.6,73.08,84.43,75,0,9.66,MV,1594492780
206,La Asuncion,11.03,-63.86,96.8,47,6,16.11,VE,1594492691
207,Necochea,-38.55,-58.74,52.0,56,66,14.0,AR,1594492782
208,Campbellton,48.01,-66.67,77.02,88,100,4.85,CA,1594492783
209,Shaunavon,49.65,-108.42,75.22,36,0,6.8,CA,1594492783
210,Huarmey,-10.07,-78.15,67.15,64,11,11.7,PE,1594492783
211,Bryan,30.67,-96.37,97.0,50,1,6.93,US,1594492784
212,Aranos,-24.13,19.12,43.66,57,0,10.74,NA,1594492784
213,Bontang,0.13,117.5,78.91,82,88,3.31,ID,1594492785
214,Port Elizabeth,-33.92,25.57,51.8,76,49,17.22,ZA,1594492770
215,Trat,12.5,102.5,78.55,89,100,0.92,TH,1594492785
216,Torbay,47.67,-52.73,69.01,68,75,10.29,CA,1594492786
217,Kalmunai,7.42,81.82,81.16,80,100,6.15,LK,1594492786
218,Esperance,-33.87,121.9,44.6,87,0,6.93,AU,1594492667
219,Port Lincoln,-34.73,135.87,52.52,79,34,12.66,AU,1594492787
220,Upernavik,72.79,-56.15,41.86,82,4,4.9,GL,1594492788
221,Tautira,-17.73,-149.15,80.6,57,20,16.11,PF,1594492788
222,Kysyl-Syr,63.9,122.76,66.22,92,100,4.5,RU,1594492789
223,Deputatsky,69.3,139.9,60.96,58,64,2.46,RU,1594492789
224,Manokwari,-0.87,134.08,76.84,87,100,4.59,ID,1594492789
225,Al Bardīyah,31.76,25.09,74.46,80,0,14.27,LY,1594492790
226,Shubarkuduk,49.14,56.49,85.21,33,3,6.93,KZ,1594492790
227,George,-33.96,22.46,48.2,66,7,6.93,ZA,1594492791
228,Khao Yoi,13.24,99.82,75.99,82,100,4.27,TH,1594492791
229,Kloulklubed,7.04,134.26,75.2,94,90,6.42,PW,1594492617
230,San Jerónimo,-11.95,-75.28,62.65,37,13,2.59,PE,1594492792
231,Beitbridge,-22.22,30.0,60.98,30,0,13.96,ZW,1594492792
232,Cherskiy,68.75,161.3,47.12,87,99,11.63,RU,1594492671
233,Airai,-8.93,125.41,57.9,100,43,3.91,TL,1594492794
234,Fagersta,60.0,15.79,57.99,75,100,1.99,SE,1594492794
235,Correntina,-13.34,-44.64,83.89,29,0,7.2,BR,1594492795
236,Kandrian,-6.22,149.55,76.78,86,24,7.52,PG,1594492795
237,Kununurra,-15.77,128.73,71.6,27,35,6.93,AU,1594492528
238,Hasaki,35.73,140.83,77.0,88,75,9.17,JP,1594492766
239,Fukuechō,32.69,128.84,72.03,89,100,14.72,JP,1594492798
240,Faanui,-16.48,-151.75,78.13,77,100,20.62,PF,1594492768
241,Neryungri,56.67,124.65,64.36,75,0,3.29,RU,1594492799
242,Yar-Sale,66.83,70.83,52.07,62,100,7.14,RU,1594492799
243,Cabo San Lucas,22.89,-109.91,90.0,55,40,10.29,MX,1594492509
244,Ereymentau,51.62,73.1,64.33,52,0,1.79,KZ,1594492800
245,Shelburne,44.08,-80.2,71.6,94,90,4.7,CA,1594492801
246,Makakilo City,21.35,-158.09,80.6,61,75,6.93,US,1594492802
247,La Ronge,55.1,-105.28,71.6,56,75,14.99,CA,1594492625
248,Praia,14.92,-23.51,82.4,58,20,11.41,CV,1594492803
249,Minchianabad,30.16,73.57,88.16,49,23,18.34,PK,1594492803
250,Oruzgan,32.83,66.0,70.05,28,0,5.84,AF,1594492804
251,Beyşehir,37.68,31.72,70.02,39,0,4.83,TR,1594492804
252,Kibaya,-5.3,36.57,58.15,97,15,6.67,TZ,1594492805
253,Puertollano,38.69,-4.11,95.0,26,0,1.99,ES,1594492805
254,Truro,50.27,-5.05,62.6,63,82,8.05,GB,1594492806
255,Ostrovnoy,68.05,39.51,57.15,72,3,8.12,RU,1594492806
256,Desaguadero,-16.57,-69.04,55.65,31,9,7.99,PE,1594492739
257,Issenye,-2.0,34.33,75.6,44,100,5.91,TZ,1594492807
258,Hobyo,5.35,48.53,79.34,77,99,31.68,SO,1594492808
259,Roebourne,-20.78,117.13,64.67,31,0,17.69,AU,1594492808
260,Dingzhou,38.51,115.0,71.6,100,90,6.71,CN,1594492809
261,Alakurtti,66.97,30.35,53.01,77,91,5.01,RU,1594492809
262,Evans,33.53,-82.13,93.2,46,1,9.17,US,1594492778
263,Kaberamaido,1.74,33.16,68.49,83,100,2.19,UG,1594492885
264,Glendive,47.11,-104.71,79.0,44,1,4.7,US,1594492886
265,North Bend,43.41,-124.22,66.99,68,90,6.93,US,1594492844
266,Hamilton,39.18,-84.53,88.0,48,40,10.29,US,1594492662
267,Holme,56.11,10.17,59.0,58,0,18.34,DK,1594492887
268,Port Said,31.26,32.28,79.21,81,0,14.36,EG,1594492887
269,Lagoa,39.05,-27.98,69.71,77,31,8.19,PT,1594492639
270,Port Shepstone,-30.74,30.45,61.16,50,0,28.14,ZA,1594492889
271,Saint Anthony,45.02,-93.22,84.2,42,1,8.05,US,1594492421
272,Amapá,1.0,-52.0,80.58,92,100,3.98,BR,1594492890
273,Maţāy,28.42,30.78,89.87,21,0,10.13,EG,1594492890
274,Rio Grande,-32.03,-52.1,60.8,55,0,4.7,BR,1594492891
275,Taoudenni,22.68,-3.98,100.56,26,85,9.93,ML,1594492891
276,Sur,22.57,59.53,86.09,67,2,17.05,OM,1594492779
277,‘Ewa Beach,21.32,-158.01,80.6,61,75,6.93,US,1594492833
278,Pevek,69.7,170.31,47.39,79,99,2.66,RU,1594492623
279,Port Hawkesbury,45.62,-61.35,70.0,88,90,6.93,CA,1594492893
280,Tolmezzo,46.41,13.02,66.0,93,90,9.53,IT,1594492893
281,Port Hardy,50.7,-127.42,55.4,93,90,4.7,CA,1594492894
282,Yangi Marg`ilon,40.43,71.72,77.0,50,84,6.93,UZ,1594492785
283,Yatou,37.15,122.38,69.6,87,100,2.13,CN,1594492895
284,Corner Brook,48.97,-57.95,86.0,37,75,11.41,CA,1594492629
285,Jiaocheng,24.68,116.14,75.58,89,100,1.9,CN,1594492895
286,West Wendover,40.74,-114.07,87.8,16,1,9.17,US,1594492896
287,Norman Wells,65.28,-126.83,55.4,82,75,8.05,CA,1594492770
288,Kosino,58.41,51.28,58.95,76,0,3.42,RU,1594492897
289,Harar,9.31,42.13,64.76,83,91,5.79,ET,1594492898
290,Alexandria,31.22,29.96,78.8,74,0,11.41,EG,1594492739
291,Sinnamary,5.38,-52.95,83.62,73,80,10.98,GF,1594492781
292,Kaeo,-35.1,173.78,41.0,3,11,3.0,NZ,1594492893
293,Erzin,36.96,36.2,81.0,85,11,5.01,TR,1594492899
294,Birjand,32.87,59.22,77.0,25,0,13.87,IR,1594492900
295,Okha,53.57,142.95,50.92,91,100,2.24,RU,1594492900
296,Santiago del Estero,-27.8,-64.26,67.37,49,24,1.66,AR,1594492901
297,Acaraú,-2.89,-40.12,82.27,70,29,14.2,BR,1594492901
298,Bentiu,9.23,29.83,76.91,81,92,5.41,SS,1594492902
299,Olinda,-8.01,-34.86,75.2,88,75,13.87,BR,1594492902
300,Lorengau,-2.02,147.27,81.48,78,100,7.34,PG,1594492667
301,Saint-Louis,16.33,-15.0,98.6,39,40,8.01,SN,1594492903
